               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.046864,            0.054297,            0.061285,             0.85894,             0.72723,             0.80277,             0.45752,            0.040057,            0.042813,            0.057974,          0.00058244,          0.00058244,          0.00058244
                  47,            0.046859,            0.054335,            0.061263,             0.85626,             0.73149,             0.80452,              0.4573,            0.039991,            0.042755,            0.057977,          0.00056704,          0.00056704,          0.00056704
                  48,            0.046881,             0.05359,            0.061271,             0.85844,             0.72757,             0.80548,             0.45878,            0.039998,            0.042703,            0.057969,          0.00055158,          0.00055158,          0.00055158
                  49,            0.046791,             0.05427,            0.061287,              0.8642,             0.72508,             0.80597,             0.45867,            0.039971,            0.042649,            0.057958,          0.00053608,          0.00053608,          0.00053608
                  50,            0.046775,            0.054559,             0.06127,             0.86487,             0.72675,             0.80702,             0.46075,            0.039879,            0.042627,            0.057951,          0.00052055,          0.00052055,          0.00052055
                  51,            0.046686,            0.054247,            0.061249,             0.86509,              0.7276,             0.80688,             0.46016,            0.039879,            0.042616,            0.057943,            0.000505,            0.000505,            0.000505
                  52,            0.046609,            0.054308,            0.061227,             0.86385,             0.72728,             0.80682,              0.4616,            0.039828,            0.042574,            0.057937,          0.00048945,          0.00048945,          0.00048945
                  53,            0.046461,            0.053918,            0.061175,             0.85536,             0.73001,             0.80754,             0.46206,            0.039799,            0.042571,            0.057923,          0.00047392,          0.00047392,          0.00047392
                  54,            0.046483,            0.053873,            0.061209,             0.85927,             0.72815,             0.80754,             0.46166,            0.039756,             0.04257,            0.057919,          0.00045842,          0.00045842,          0.00045842
                  55,            0.046309,            0.053654,            0.061169,             0.86135,             0.73056,             0.80747,             0.46264,            0.039728,            0.042578,            0.057903,          0.00044296,          0.00044296,          0.00044296
                  56,            0.046293,            0.053409,            0.061196,             0.86426,             0.73079,              0.8071,             0.46247,            0.039723,            0.042585,            0.057903,          0.00042756,          0.00042756,          0.00042756
                  57,            0.046085,            0.053068,            0.061124,             0.85983,              0.7341,             0.80737,              0.4631,            0.039727,            0.042613,            0.057915,          0.00041225,          0.00041225,          0.00041225
                  58,            0.046215,            0.053917,            0.061131,             0.86394,             0.73144,             0.80837,             0.46435,            0.039685,            0.042542,            0.057916,          0.00039702,          0.00039702,          0.00039702
                  59,             0.04609,            0.053501,             0.06108,             0.86351,             0.73324,             0.80921,             0.46452,            0.039662,            0.042542,            0.057903,           0.0003819,           0.0003819,           0.0003819
                  60,            0.045998,            0.052988,             0.06111,             0.86006,             0.73615,             0.80944,              0.4651,            0.039656,            0.042548,            0.057904,           0.0003669,           0.0003669,           0.0003669
                  61,            0.045945,            0.053135,            0.061147,              0.8634,             0.73372,             0.80929,             0.46568,            0.039646,            0.042571,            0.057901,          0.00035204,          0.00035204,          0.00035204
                  62,            0.045824,             0.05329,            0.061048,             0.86446,             0.73354,             0.81025,             0.46603,            0.039614,            0.042541,            0.057895,          0.00033732,          0.00033732,          0.00033732
                  63,            0.045854,            0.053442,            0.061107,             0.86068,             0.73462,             0.81008,             0.46654,             0.03959,            0.042491,            0.057884,          0.00032278,          0.00032278,          0.00032278
                  64,            0.045777,             0.05349,            0.061088,             0.86283,             0.73325,             0.81026,             0.46674,            0.039583,            0.042478,             0.05788,          0.00030841,          0.00030841,          0.00030841
                  65,            0.045632,            0.053329,            0.061046,              0.8661,             0.73357,             0.81059,             0.46668,             0.03955,            0.042463,            0.057871,          0.00029424,          0.00029424,          0.00029424
