               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.039757,            0.044921,            0.060303,             0.86611,             0.78994,             0.85233,             0.53023,             0.03446,            0.036583,            0.057091,            0.004456,            0.004456,            0.004456
                  58,            0.039671,            0.044992,            0.060283,             0.86701,             0.79153,             0.85238,             0.53276,            0.034469,            0.036516,            0.057077,            0.004357,            0.004357,            0.004357
                  59,            0.039364,            0.044854,            0.060221,             0.86734,             0.79139,             0.85233,             0.53164,            0.034453,            0.036498,            0.057079,            0.004258,            0.004258,            0.004258
                  60,             0.03927,            0.044426,            0.060211,             0.86722,             0.79201,             0.85412,             0.53231,            0.034412,             0.03656,            0.057074,            0.004159,            0.004159,            0.004159
                  61,            0.039262,            0.044415,             0.06021,             0.87182,             0.79188,             0.85445,             0.53267,            0.034355,            0.036539,            0.057058,             0.00406,             0.00406,             0.00406
                  62,            0.039413,            0.044507,             0.06027,             0.87055,             0.78917,              0.8525,             0.53306,              0.0343,             0.03654,            0.057056,            0.003961,            0.003961,            0.003961
                  63,             0.03919,            0.044289,            0.060224,              0.8702,             0.79399,             0.85335,             0.53291,            0.034279,            0.036502,            0.057044,            0.003862,            0.003862,            0.003862
                  64,            0.039316,            0.044706,            0.060197,             0.87227,             0.78998,             0.85244,              0.5342,            0.034277,            0.036467,            0.057039,            0.003763,            0.003763,            0.003763
                  65,            0.039293,            0.044375,            0.060212,             0.86871,             0.79114,             0.85349,             0.53406,             0.03427,            0.036466,            0.057042,            0.003664,            0.003664,            0.003664
                  66,            0.039152,             0.04451,            0.060156,              0.8688,             0.79167,             0.85417,             0.53381,            0.034237,            0.036426,            0.057035,            0.003565,            0.003565,            0.003565
                  67,            0.038869,             0.04414,            0.060144,             0.86976,             0.79169,             0.85318,              0.5336,            0.034225,            0.036412,            0.057036,            0.003466,            0.003466,            0.003466
                  68,            0.039051,            0.044322,            0.060166,             0.86847,             0.79243,             0.85418,             0.53404,            0.034197,            0.036389,            0.057032,            0.003367,            0.003367,            0.003367
                  69,            0.038919,            0.044262,            0.060126,             0.87086,             0.79339,             0.85547,             0.53494,             0.03418,            0.036373,            0.057028,            0.003268,            0.003268,            0.003268
                  70,            0.038894,            0.044114,            0.060172,             0.87105,             0.79279,             0.85549,             0.53504,            0.034149,            0.036325,            0.057023,            0.003169,            0.003169,            0.003169
                  71,            0.038939,            0.044742,             0.06013,             0.87234,             0.79381,             0.85521,             0.53559,            0.034133,            0.036299,            0.057021,             0.00307,             0.00307,             0.00307
                  72,              0.0389,            0.043985,            0.060143,             0.87232,             0.79394,             0.85554,              0.5349,            0.034132,            0.036276,             0.05702,            0.002971,            0.002971,            0.002971
                  73,            0.038687,            0.043909,            0.060052,             0.87354,             0.79334,             0.85546,             0.53576,            0.034124,            0.036256,            0.057019,            0.002872,            0.002872,            0.002872
                  74,            0.038697,             0.04389,            0.060102,             0.87318,             0.79525,             0.85634,             0.53633,            0.034109,            0.036229,            0.057018,            0.002773,            0.002773,            0.002773
                  75,            0.038442,            0.044124,            0.060064,             0.87054,             0.79439,             0.85602,             0.53723,            0.034091,            0.036229,            0.057016,            0.002674,            0.002674,            0.002674
                  76,            0.038552,            0.043718,            0.060061,             0.87211,             0.79368,             0.85595,             0.53686,            0.034075,            0.036232,            0.057015,            0.002575,            0.002575,            0.002575
                  77,            0.038339,             0.04372,            0.060058,             0.87078,             0.79436,             0.85554,              0.5374,            0.034068,            0.036237,            0.057016,            0.002476,            0.002476,            0.002476
                  78,            0.038331,            0.043528,             0.06006,              0.8707,             0.79428,             0.85691,             0.53878,            0.034056,            0.036239,            0.057012,            0.002377,            0.002377,            0.002377
                  79,            0.038198,            0.042915,            0.060021,             0.87045,             0.79495,             0.85752,             0.53869,            0.034038,            0.036237,            0.057007,            0.002278,            0.002278,            0.002278
                  80,            0.038148,            0.042855,            0.059988,             0.87087,             0.79607,             0.85734,             0.53852,             0.03402,            0.036236,            0.057003,            0.002179,            0.002179,            0.002179
                  81,            0.038138,            0.042778,            0.060016,             0.87235,              0.7943,             0.85732,             0.53896,            0.033999,            0.036233,            0.057002,             0.00208,             0.00208,             0.00208
                  82,            0.038157,            0.043028,            0.059998,             0.87224,             0.79539,             0.85724,             0.53885,            0.033983,             0.03623,            0.056999,            0.001981,            0.001981,            0.001981
